                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81409,                 1.7145,                 1.3927,                0.98544,                   0.94,                0.98897,                0.93248,                0.32268,                0.93903,                 0.9105,                0.00016,                0.00016,                0.00016
                      2,                0.73611,                 1.3445,                 1.2849,                0.77772,                0.55983,                0.64047,                0.32744,                 1.9286,                 2.4981,                 2.5737,             0.00033737,             0.00033737,             0.00033737
                      3,                0.77813,                 1.1128,                 1.2918,                0.12586,                    0.5,                0.31121,                0.04482,                 3.2115,                 18.092,                 5.3835,             0.00051196,             0.00051196,             0.00051196
                      4,                0.83471,                0.92684,                 1.2911,                0.07573,                   0.74,                0.07536,                0.03878,                 1.5825,                 34.607,                 2.5373,             0.00068376,             0.00068376,             0.00068376
                      5,                 0.8786,                0.90564,                 1.3336,                 0.0396,                   0.16,                0.02548,                0.00957,                 2.4979,                 128.32,                 10.649,             0.00085278,             0.00085278,             0.00085278
                      6,                 1.0325,                 1.0203,                 1.4524,                 0.0396,                   0.16,                0.02548,                0.00957,                  5.641,                 713.78,                 194.13,               0.001019,               0.001019,               0.001019
                      7,                 1.1139,                 1.1373,                 1.5187,                 0.0067,                   0.56,                0.00658,                0.00192,                  3.199,                  65387,                 1322.3,              0.0011825,              0.0011825,              0.0011825
                      8,                 1.0297,                0.92541,                 1.4094,                0.00263,                   0.54,                0.00303,                0.00362,                 3.8431,                  71802,                 930.71,              0.0013431,              0.0013431,              0.0013431
                      9,                 1.1609,                 1.1099,                 1.4854,                0.00108,                   0.02,                0.00053,                0.00011,                 2.4603,                  66397,                 712.53,               0.001501,               0.001501,               0.001501
                     10,                0.90722,                0.86745,                 1.3362,                0.00061,                   0.02,                0.00029,                  9e-05,                 2.2794,             2.4313e+05,                  312.3,              0.0016561,              0.0016561,              0.0016561
                     11,                0.98746,                0.91035,                 1.4094,                0.00086,                   0.02,                0.00045,                0.00018,                 2.5307,             1.3443e+05,                 551.92,              0.0018084,              0.0018084,              0.0018084
                     12,                 0.9436,                0.83199,                 1.3462,                0.01406,                   0.36,                0.00784,                0.00231,                 3.1794,                 982.61,                 78.646,              0.0018298,              0.0018298,              0.0018298
                     13,                0.99517,                0.85253,                 1.3913,                 0.0019,                    0.1,                0.00087,                0.00014,                  4.173,                 2068.5,                 71.348,              0.0018144,              0.0018144,              0.0018144
                     14,                0.92594,                  0.808,                 1.3113,                0.01988,                   0.78,                  0.019,                0.00619,                 2.8147,                 743.99,                 93.011,              0.0017989,              0.0017989,              0.0017989
                     15,                0.97173,                0.85314,                 1.3815,                0.09859,                   0.68,                0.10504,                0.03442,                 2.3716,                 90.439,                 13.317,              0.0017834,              0.0017834,              0.0017834
                     16,                0.84417,                0.70051,                 1.2486,                0.00415,                   0.04,                0.00178,                0.00055,                 4.5887,                 147.88,                 23.086,               0.001768,               0.001768,               0.001768
                     17,                0.86387,                0.71356,                 1.2445,                0.00932,                   0.12,                0.00295,                0.00161,                 3.8126,                  10.33,                 6.0293,              0.0017525,              0.0017525,              0.0017525
                     18,                0.79042,                0.70673,                  1.265,                0.62023,                   0.76,                0.74336,                0.51809,                0.92922,                 3.3845,                 1.4939,               0.001737,               0.001737,               0.001737
                     19,                0.82198,                0.69077,                 1.2703,                0.80845,                0.75969,                0.82939,                0.44587,                 1.3552,                 2.9543,                  2.225,              0.0017216,              0.0017216,              0.0017216
                     20,                0.84956,                0.62568,                 1.2504,                0.68306,                      1,                0.97775,                0.57865,                 1.1774,                 4.2391,                 2.5329,              0.0017061,              0.0017061,              0.0017061
                     21,                0.77871,                0.59944,                 1.1931,                0.88375,                   0.94,                 0.9425,                0.76986,                0.66223,                 2.3188,                 1.4348,              0.0016906,              0.0016906,              0.0016906
                     22,                0.73855,                0.59384,                 1.1869,                0.73513,                      1,                 0.9699,                0.84966,                0.55757,                 2.3501,                 1.1831,              0.0016752,              0.0016752,              0.0016752
                     23,                0.75092,                0.62828,                 1.1926,                0.57947,                   0.92,                0.87399,                 0.6604,                0.68277,                 3.2578,                  1.243,              0.0016597,              0.0016597,              0.0016597
                     24,                0.84249,                0.67189,                 1.2882,                0.92028,                      1,                0.99461,                 0.9256,                0.42811,                 1.4204,                 1.0068,              0.0016442,              0.0016442,              0.0016442
                     25,                0.70878,                0.56541,                 1.1796,                0.96255,                      1,                  0.995,                0.88821,                0.46848,                 1.1224,                 1.0248,              0.0016287,              0.0016287,              0.0016287
                     26,                0.72738,                 0.5978,                 1.1816,                0.90714,                0.97693,                0.98771,                0.82148,                0.50576,                0.93044,                 1.0206,              0.0016133,              0.0016133,              0.0016133
                     27,                0.73893,                0.59279,                 1.1757,                0.95667,                   0.98,                0.97947,                0.92372,                 0.3543,                 0.7637,                0.90319,              0.0015978,              0.0015978,              0.0015978
                     28,                 0.6707,                0.56654,                 1.1846,                0.99856,                      1,                  0.995,                0.91523,                 0.3883,                 0.4839,                0.95411,              0.0015823,              0.0015823,              0.0015823
                     29,                0.68941,                0.56483,                 1.1737,                 0.9207,                   0.98,                0.96921,                0.85578,                  0.511,                0.54119,                 1.1049,              0.0015669,              0.0015669,              0.0015669
                     30,                0.73943,                0.57098,                 1.1877,                0.95033,                   0.94,                0.96724,                0.80028,                0.64513,                0.74625,                 1.2186,              0.0015514,              0.0015514,              0.0015514
                     31,                0.77207,                0.62759,                 1.2238,                0.84685,                   0.98,                0.95984,                0.80962,                0.64629,                0.62026,                 1.1725,              0.0015359,              0.0015359,              0.0015359
                     32,                0.70017,                  0.574,                 1.2222,                0.99491,                      1,                  0.995,                0.95852,                0.33444,                0.40458,                0.90187,              0.0015205,              0.0015205,              0.0015205
                     33,                0.71454,                0.55525,                 1.1805,                      1,                0.99139,                  0.995,                0.88269,                0.40998,                0.51075,                0.97406,               0.001505,               0.001505,               0.001505
                     34,                0.67937,                0.52341,                 1.1614,                      1,                0.99704,                  0.995,                0.90251,                0.44016,                0.62611,                0.99074,              0.0014895,              0.0014895,              0.0014895
                     35,                0.67864,                0.53119,                 1.1734,                0.95982,                 0.9557,                0.98192,                0.80327,                0.67641,                0.72226,                 1.1947,              0.0014741,              0.0014741,              0.0014741
                     36,                0.62727,                 0.5126,                   1.13,                0.98712,                   0.98,                0.99387,                0.92799,                0.33122,                0.59301,                0.88342,              0.0014586,              0.0014586,              0.0014586
                     37,                0.65409,                0.48679,                 1.1583,                0.99779,                      1,                  0.995,                0.93373,                0.33521,                 0.4591,                0.89218,              0.0014431,              0.0014431,              0.0014431
                     38,                0.58118,                0.44507,                 1.1221,                0.99799,                      1,                  0.995,                0.94672,                0.32895,                0.36042,                0.89967,              0.0014277,              0.0014277,              0.0014277
                     39,                0.63763,                0.53188,                 1.1631,                0.99875,                      1,                  0.995,                0.97289,                0.27494,                0.29242,                0.85926,              0.0014122,              0.0014122,              0.0014122
                     40,                0.64505,                0.49667,                 1.1557,                0.99735,                      1,                  0.995,                0.90452,                0.38479,                0.36353,                0.92505,              0.0013967,              0.0013967,              0.0013967
                     41,                0.71767,                0.54488,                 1.2162,                0.99754,                      1,                  0.995,                  0.936,                0.34434,                0.34158,                0.92546,              0.0013813,              0.0013813,              0.0013813
                     42,                0.62055,                0.46858,                 1.1367,                      1,                0.99531,                  0.995,                0.91672,                0.41121,                0.33289,                0.97069,              0.0013658,              0.0013658,              0.0013658
                     43,                0.61636,                0.48669,                 1.1431,                0.99422,                      1,                  0.995,                0.93872,                0.40079,                0.35828,                 1.0102,              0.0013503,              0.0013503,              0.0013503
                     44,                0.69225,                0.54731,                 1.1852,                0.99878,                      1,                  0.995,                0.96319,                0.27082,                0.29168,                 0.8543,              0.0013348,              0.0013348,              0.0013348
